target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
__O	K_O	2	2
_$Y	K$Y	3	3
_0_	K0_	2	2
_0z	K0z	2	2
_1Y	K1Y	2	2
_2Y	K2Y	2	2
_2z	K2z	3	3
_4Y	K4Y	2	2
_6O	K6O	1	1
_6Y	K6Y	1	1
_7O	K7O	3	2
_7Y	K7Y	3	3
_8O	K8O	2	2
_9O	K9O	1	1
_a_	Ka_	3	2
_aY	KaY	2	2
_AY	KAY	2	2
_B_	KB_	2	2
_DY	KDY	1	1
_Dz	KDz	3	2
_E_	KE_	3	2
_ez	Kez	2	2
_F_	KF_	2	2
_FY	KFY	3	3
_gY	KgY	1	1
_HY	KHY	2	2
_Hz	KHz	2	2
_IY	KIY	1	1
_jY	KjY	2	2
_JY	KJY	2	2
_jz	Kjz	3	3
_Jz	KJz	2	2
_K_	KK_	2	2
_m_	Km_	1	1
_mY	KmY	1	1
_MY	KMY	1	1
_Mz	KMz	2	2
_N_	KN_	2	2
_nY	KnY	2	2
_o_	Ko_	2	2
_oO	KoO	2	2
_oY	KoY	2	2
_OY	KOY	2	1
_PY	KPY	2	2
_Pz	KPz	3	3
_qO	KqO	2	2
_qY	KqY	2	2
_qz	Kqz	2	2
_TY	KTY	2	2
_tz	Ktz	2	2
_uY	KuY	2	2
_Uz	KUz	2	2
_v_	Kv_	2	2
_wY	KwY	2	2
_WY	KWY	2	2
_Wz	KWz	2	2
_xY	KxY	1	1
_XY	KXY	2	2
_y_	Ky_	2	2
_ZO	KZO	2	2
$_O	A_O	2	2
$$Y	A$Y	2	2
$0z	A0z	3	3
$1Y	A1Y	3	2
$2Y	A2Y	2	2
$2z	A2z	3	3
$3O	A3O	2	2
$4Y	A4Y	2	2
$6O	A6O	1	1
$6Y	A6Y	2	2
$7O	A7O	3	2
$7Y	A7Y	3	3
$7z	A7z	1	1
$8O	A8O	2	2
$9O	A9O	1	1
$a_	Aa_	3	2
$aY	AaY	2	2
$AY	AAY	2	2
$B_	AB_	2	2
$DY	ADY	1	1
$Dz	ADz	3	3
$E_	AE_	2	2
$ez	Aez	2	2
$Hz	AHz	2	2
$IY	AIY	2	2
$jY	AjY	1	1
$jz	Ajz	2	2
$Jz	AJz	2	2
$K_	AK_	2	2
$m_	Am_	2	2
$mY	AmY	1	1
$MY	AMY	2	2
$Mz	AMz	2	2
$N_	AN_	1	1
$nY	AnY	2	2
$o_	Ao_	2	2
$oY	AoY	1	1
$OY	AOY	1	1
$p_	Ap_	1	1
$PY	APY	2	2
$Pz	APz	1	1
$qO	AqO	2	2
$qY	AqY	2	2
$qz	Aqz	2	2
$t_	At_	3	3
$TY	ATY	2	2
$tz	Atz	2	2
$uY	AuY	2	2
$Uz	AUz	2	2
$v_	Av_	3	3
$Vz	AVz	3	3
$wY	AwY	2	2
$WY	AWY	2	2
$Wz	AWz	1	1
$xY	AxY	2	2
$XY	AXY	2	2
$y_	Ay_	2	2
$YY	AYY	2	2
A_O	O_O	2	2
a$Y	o$Y	3	2
A$Y	O$Y	2	1
A0z	O0z	2	2
a1H	o1H	2	2
a1O	o1O	3	2
a1Y	o1Y	1	1
A1Y	O1Y	2	2
a1z	o1z	2	2
a2Y	o2Y	2	2
A2Y	O2Y	1	1
a2z	o2z	2	2
A2z	O2z	3	3
a3O	o3O	2	2
A3O	O3O	2	2
a4_	o4_	2	2
A4Y	O4Y	2	2
a6O	o6O	2	2
A6O	O6O	2	2
A6Y	O6Y	2	2
a7O	o7O	1	1
A7O	O7O	3	2
a7Y	o7Y	2	2
A7Y	O7Y	1	1
a7z	o7z	2	2
A8O	O8O	2	2
a9O	o9O	2	2
A9O	O9O	1	1
Aa_	Oa_	3	2
aAY	oAY	2	1
AaY	OaY	2	2
AAY	OAY	2	2
AB_	OB_	1	1
abY	obY	2	2
aBY	oBY	2	1
AD$	OD$	1	1
ADY	ODY	2	2
ADz	ODz	3	2
aE_	oE_	3	3
AE_	OE_	2	2
aeY	oeY	2	2
aez	oez	2	2
Aez	Oez	2	2
afO	ofO	2	2
aFz	oFz	1	1
ag_	og_	3	3
aG_	oG_	2	1
aGY	oGY	1	1
ahY	ohY	2	2
aHY	oHY	2	2
AHY	OHY	1	1
aHz	oHz	2	2
AHz	OHz	3	3
aiY	oiY	2	2
aIY	oIY	1	1
AIY	OIY	2	2
ajY	ojY	2	2
aJY	oJY	2	2
AjY	OjY	1	1
AJY	OJY	2	2
ajz	ojz	2	2
aJz	oJz	2	2
Ajz	Ojz	2	2
AJz	OJz	2	2
AK_	OK_	2	2
alY	olY	1	1
Am_	Om_	2	2
aMY	oMY	2	2
AmY	OmY	1	1
AMY	OMY	2	2
AMz	OMz	3	2
AN_	ON_	2	2
AnY	OnY	2	2
ao_	oo_	2	2
Ao_	Oo_	1	1
aoY	ooY	2	2
aOY	oOY	2	2
AoY	OoY	1	1
AOY	OOY	1	1
ap_	op_	2	2
aPY	oPY	2	2
APY	OPY	2	2
aPz	oPz	1	1
APz	OPz	1	1
AqO	OqO	2	2
aqY	oqY	2	2
AqY	OqY	2	2
Aqz	Oqz	2	2
ar_	or_	2	2
arY	orY	2	2
as_	os_	2	2
asz	osz	2	2
